user_id,distance,duration,date,name,age,city,subscription_type,minute_price,start_ride_price,subscription_fee
1,4409.0,26.0,2021-01-01,Кира,22,Тюмень,ultra,6,0,199
1,2617.0,16.0,2021-01-18,Кира,22,Тюмень,ultra,6,0,199
1,754.0,7.0,2021-04-20,Кира,22,Тюмень,ultra,6,0,199
1,2694.0,19.0,2021-08-11,Кира,22,Тюмень,ultra,6,0,199
1,4028.0,27.0,2021-08-28,Кира,22,Тюмень,ultra,6,0,199
1,2770.0,17.0,2021-10-09,Кира,22,Тюмень,ultra,6,0,199
1,3039.0,15.0,2021-10-19,Кира,22,Тюмень,ultra,6,0,199
1,2842.0,24.0,2021-11-06,Кира,22,Тюмень,ultra,6,0,199
1,3412.0,16.0,2021-11-14,Кира,22,Тюмень,ultra,6,0,199
1,748.0,16.0,2021-11-22,Кира,22,Тюмень,ultra,6,0,199
1,4031.0,18.0,2021-12-14,Кира,22,Тюмень,ultra,6,0,199
1,2720.0,10.0,2021-12-22,Кира,22,Тюмень,ultra,6,0,199
2,3105.0,25.0,2021-03-15,Станислав,31,Омск,ultra,6,0,199
2,3053.0,12.0,2021-03-18,Станислав,31,Омск,ultra,6,0,199
2,4029.0,26.0,2021-03-23,Станислав,31,Омск,ultra,6,0,199
2,2805.0,21.0,2021-04-08,Станислав,31,Омск,ultra,6,0,199
2,3358.0,19.0,2021-04-13,Станислав,31,Омск,ultra,6,0,199
2,3255.0,14.0,2021-06-20,Станислав,31,Омск,ultra,6,0,199
2,3942.0,21.0,2021-07-02,Станислав,31,Омск,ultra,6,0,199
2,2837.0,27.0,2021-07-18,Станислав,31,Омск,ultra,6,0,199
2,923.0,7.0,2021-08-03,Станислав,31,Омск,ultra,6,0,199
2,2824.0,19.0,2021-10-27,Станислав,31,Омск,ultra,6,0,199
2,3828.0,12.0,2021-12-18,Станислав,31,Омск,ultra,6,0,199
3,3061.0,13.0,2021-01-31,Алексей,20,Москва,ultra,6,0,199
3,2560.0,17.0,2021-02-24,Алексей,20,Москва,ultra,6,0,199
3,2860.0,22.0,2021-02-26,Алексей,20,Москва,ultra,6,0,199
3,2956.0,21.0,2021-04-12,Алексей,20,Москва,ultra,6,0,199
3,2756.0,19.0,2021-05-07,Алексей,20,Москва,ultra,6,0,199
3,2837.0,25.0,2021-05-21,Алексей,20,Москва,ultra,6,0,199
3,3469.0,19.0,2021-05-22,Алексей,20,Москва,ultra,6,0,199
